% 1. Title: Gender Text Database 
@RELATION genderText

@ATTRIBUTE	and	NUMERIC
@ATTRIBUTE	all	NUMERIC
@ATTRIBUTE	can	NUMERIC
@ATTRIBUTE	is	NUMERIC
@ATTRIBUTE	it	NUMERIC
@ATTRIBUTE	an	NUMERIC
@ATTRIBUTE	as	NUMERIC
@ATTRIBUTE	at	NUMERIC
@ATTRIBUTE	have	NUMERIC
@ATTRIBUTE	in	NUMERIC
@ATTRIBUTE	out	NUMERIC
@ATTRIBUTE	what	NUMERIC
@ATTRIBUTE	from	NUMERIC
@ATTRIBUTE	for	NUMERIC
@ATTRIBUTE	there	NUMERIC
@ATTRIBUTE	when	NUMERIC
@ATTRIBUTE	been	NUMERIC
@ATTRIBUTE	to	NUMERIC
@ATTRIBUTE	which	NUMERIC
@ATTRIBUTE	you	NUMERIC
@ATTRIBUTE	has	NUMERIC
@ATTRIBUTE	was	NUMERIC
@ATTRIBUTE	more	NUMERIC
@ATTRIBUTE	be	NUMERIC
@ATTRIBUTE	we	NUMERIC
@ATTRIBUTE	his	NUMERIC
@ATTRIBUTE	that	NUMERIC
@ATTRIBUTE	who	NUMERIC
@ATTRIBUTE	but	NUMERIC
@ATTRIBUTE	they	NUMERIC
@ATTRIBUTE	not	NUMERIC
@ATTRIBUTE	one	NUMERIC
@ATTRIBUTE	with	NUMERIC
@ATTRIBUTE	by	NUMERIC
@ATTRIBUTE	he	NUMERIC
@ATTRIBUTE	a	NUMERIC
@ATTRIBUTE	on	NUMERIC
@ATTRIBUTE	about	NUMERIC
@ATTRIBUTE	like	NUMERIC
@ATTRIBUTE	i	NUMERIC
@ATTRIBUTE	of	NUMERIC
@ATTRIBUTE	up	NUMERIC
@ATTRIBUTE	or	NUMERIC
@ATTRIBUTE	this	NUMERIC
@ATTRIBUTE	s	NUMERIC
@ATTRIBUTE	so	NUMERIC
@ATTRIBUTE	t	NUMERIC
@ATTRIBUTE	the	NUMERIC
@ATTRIBUTE	my	NUMERIC
@ATTRIBUTE	are	NUMERIC
@ATTRIBUTE	gender	{male,female}

@DATA
3.44,0.0,0.18,1.36,0.63,0.36,0.72,0.18,0.54,1.9,0.18,0.27,0.27,0.91,0.0,0.72,0.45,2.45,0.27,0.0,0.63,1.27,0.09,0.63,0.36,1.45,1.45,0.18,0.45,0.36,0.54,0.18,0.45,0.54,1.45,1.54,1.0,0.18,0.0,0.27,2.54,0.45,0.54,0.54,1.09,0.27,0.0,5.71,0.18,0.09,male
2.49,0.45,0.68,1.13,1.13,0.0,0.9,0.0,0.0,2.26,0.0,0.23,0.0,0.68,0.23,0.0,0.23,4.52,0.0,0.9,0.0,0.23,0.45,1.36,0.0,0.23,0.9,0.0,0.23,0.45,0.68,0.45,0.68,0.0,0.45,2.26,0.9,0.0,0.0,0.0,3.39,0.45,0.68,0.0,0.9,0.23,0.23,5.43,0.0,0.45,female
1.83,0.18,0.91,1.46,1.1,0.18,1.1,0.55,0.91,2.19,0.37,0.0,0.18,0.91,0.18,0.0,0.0,3.11,0.0,0.37,0.18,0.18,0.73,0.55,0.0,0.0,1.1,0.18,0.37,0.91,0.18,0.18,0.55,0.37,0.18,2.01,0.55,0.55,0.18,0.0,2.56,0.37,0.55,0.37,1.1,0.18,1.1,5.12,0.0,1.1,female
1.5,0.14,0.41,0.14,0.14,0.14,1.63,1.09,0.95,2.59,0.14,0.14,0.27,0.54,0.14,0.41,0.27,0.95,0.0,0.27,0.14,1.77,0.0,0.54,0.0,0.27,1.09,0.54,0.27,0.14,0.27,0.54,0.82,0.54,1.5,2.86,0.41,0.27,0.14,3.27,2.59,0.41,0.27,0.14,0.95,0.14,1.09,5.44,0.41,0.0,male
2.08,0.38,0.19,2.27,0.38,0.0,0.19,0.76,0.95,1.13,0.0,0.19,0.57,0.57,0.19,0.0,0.0,2.08,0.76,0.95,0.38,0.19,0.38,0.0,0.19,0.0,0.38,0.19,0.38,0.0,0.38,0.57,0.76,0.57,0.0,2.65,1.13,0.0,0.0,1.7,3.78,0.19,0.19,1.13,0.76,0.0,0.38,4.16,0.38,0.95,female
2.63,0.32,0.53,0.84,0.32,0.63,0.63,0.0,0.42,1.47,0.42,0.63,0.21,0.63,0.42,0.0,0.11,1.89,0.21,0.95,0.21,0.63,0.32,0.0,0.21,0.53,1.79,0.74,0.53,0.53,0.32,0.42,0.53,0.21,1.16,1.26,1.26,0.32,0.53,0.21,2.31,0.0,0.53,0.42,1.26,0.32,0.53,4.84,0.11,0.74,female
1.97,0.13,0.39,2.1,1.18,0.13,0.39,0.52,0.92,1.44,0.26,0.13,1.05,1.31,0.52,0.26,0.13,4.06,0.39,0.13,0.39,0.0,0.26,1.57,0.0,0.0,1.97,0.52,0.26,0.39,0.79,0.26,0.66,0.39,0.0,1.44,0.52,0.13,0.0,0.26,2.23,0.26,0.26,0.13,0.52,0.0,0.0,5.24,0.0,0.79,female
1.38,0.0,0.0,1.04,2.77,0.0,0.35,0.35,0.35,0.69,0.0,0.35,0.69,1.73,0.0,0.0,0.0,2.42,0.0,0.35,0.69,1.04,0.69,0.35,0.0,0.0,1.73,0.35,0.0,0.35,0.35,0.35,0.35,1.38,0.0,1.73,0.35,0.35,0.0,0.0,2.42,0.0,0.0,1.38,1.38,0.35,0.0,5.54,0.0,0.35,male
2.03,0.21,0.11,1.07,0.86,0.75,0.86,0.32,0.86,2.14,0.0,0.0,0.32,1.18,0.0,0.0,0.75,2.57,0.54,0.0,1.39,0.11,0.21,0.32,0.0,0.11,1.61,0.11,0.21,0.11,0.54,0.0,0.64,0.75,0.21,1.61,0.86,0.0,0.0,0.0,2.78,0.43,0.11,0.21,1.18,0.21,0.11,5.57,0.0,0.54,male
2.44,0.23,0.46,0.12,0.7,0.46,0.35,0.12,0.35,1.04,0.35,0.0,0.23,0.93,0.12,0.35,0.12,2.9,0.23,0.12,0.23,0.93,0.0,0.46,1.28,0.35,1.74,0.46,0.7,0.0,0.35,0.35,0.0,0.23,0.46,3.48,0.46,0.23,0.23,1.16,1.86,0.23,0.0,0.35,1.28,0.46,1.39,4.99,1.16,0.23,male
2.03,0.19,0.19,0.58,1.06,0.39,0.68,0.1,0.68,0.97,0.29,0.29,0.48,1.16,0.19,0.29,0.19,2.52,0.1,1.26,0.48,1.06,0.29,0.58,0.29,0.19,1.65,1.06,0.77,0.39,0.77,0.1,0.29,0.58,0.1,2.81,0.39,0.19,0.68,0.48,1.45,0.19,0.97,0.1,1.26,0.39,0.77,4.36,0.39,0.1,female
3.92,0.0,0.17,0.85,0.17,0.17,0.17,0.17,0.68,2.04,0.17,0.34,0.0,1.36,0.0,0.51,0.17,1.87,0.17,0.17,0.34,1.02,0.0,0.34,0.17,1.02,1.02,0.85,0.34,1.36,0.17,0.51,0.85,0.51,1.02,3.07,1.02,0.68,0.17,0.17,1.53,0.17,0.51,0.34,1.19,0.0,1.36,3.92,0.17,0.17,female
1.62,0.32,0.0,1.62,1.46,0.16,0.49,0.32,0.16,2.27,0.0,0.0,0.65,1.14,0.81,0.32,0.0,3.9,0.16,1.3,0.16,0.32,0.16,0.0,0.0,0.32,1.62,0.0,0.81,1.14,0.49,0.32,0.32,0.0,0.16,3.41,1.14,0.0,0.16,0.32,2.6,0.16,0.0,0.16,0.97,0.65,0.65,6.66,0.0,0.32,male
1.7,0.24,0.24,0.81,1.3,0.32,1.22,0.16,0.41,2.19,0.49,0.49,0.41,1.22,0.24,0.49,0.08,3.0,0.24,0.08,0.32,0.41,0.16,0.73,0.16,0.41,1.14,0.49,0.41,0.57,0.41,0.16,0.65,0.16,0.49,2.6,0.81,0.24,0.32,0.16,2.35,0.41,0.73,0.57,0.97,0.49,0.49,4.46,0.32,0.16,female
2.85,0.53,0.0,2.14,0.53,0.53,0.89,0.0,0.36,1.25,0.18,0.0,1.07,2.14,0.53,0.0,0.36,2.85,1.07,0.0,0.18,0.36,0.53,1.07,0.0,0.18,1.6,0.18,0.18,0.18,0.53,0.0,0.36,0.18,0.18,1.07,0.71,0.36,0.0,1.25,3.21,0.18,0.53,1.25,0.89,0.0,0.36,4.63,0.0,0.18,female
2.42,0.17,0.69,0.17,1.38,0.35,0.69,1.04,0.35,1.73,0.35,0.17,0.69,0.69,0.52,0.17,0.0,2.77,0.0,2.08,0.0,0.35,0.17,0.52,2.6,0.35,0.52,0.17,0.52,0.52,0.35,0.35,0.52,0.52,0.0,2.25,1.21,0.17,0.35,0.35,2.42,0.35,0.0,0.0,0.87,0.52,0.35,3.81,0.35,0.35,female
1.49,0.25,0.0,1.24,0.5,0.25,0.74,0.99,0.25,2.48,0.25,0.5,0.0,0.74,0.25,0.0,0.25,2.48,0.25,0.0,0.25,0.5,0.0,0.25,0.25,0.0,0.74,0.0,0.5,0.25,0.0,0.25,0.0,0.25,0.0,2.23,1.49,0.5,0.25,0.99,4.22,0.0,0.25,0.74,0.5,0.74,0.25,5.71,0.74,1.24,female
1.99,0.74,0.0,1.74,1.24,0.12,0.37,0.74,0.5,1.86,0.25,0.5,0.25,0.99,0.25,0.25,0.12,1.61,0.12,0.5,0.5,0.0,0.62,0.62,1.24,0.0,1.24,0.5,0.87,0.5,0.74,0.25,0.87,0.25,0.0,2.36,0.62,0.37,0.0,0.12,4.34,1.12,0.12,0.25,1.12,0.5,0.37,4.71,0.0,1.12,female
2.06,0.19,0.56,1.87,1.31,0.0,0.0,0.56,0.75,0.56,0.56,0.37,0.37,0.37,0.37,0.0,0.19,4.11,0.0,1.12,0.56,0.19,0.0,0.75,0.37,0.0,2.24,0.0,0.56,0.56,0.19,0.75,0.56,0.0,0.0,3.18,0.75,0.56,0.0,0.56,2.06,0.37,0.37,0.19,0.75,0.56,0.19,5.61,0.19,0.75,female
2.73,0.68,0.2,0.39,0.78,0.0,0.2,0.49,0.59,2.05,0.49,0.29,0.68,1.17,0.0,0.1,0.1,2.24,0.0,0.88,0.39,0.59,0.0,0.2,0.29,0.0,1.07,0.2,0.68,1.17,0.29,0.29,0.68,0.49,0.88,2.44,0.78,0.39,0.49,3.32,1.27,0.2,0.1,0.29,1.17,0.29,0.49,5.76,0.98,0.1,male
3.44,0.49,0.12,0.49,0.61,0.12,0.0,0.37,0.49,1.72,0.25,0.37,0.49,2.33,0.25,0.0,0.61,2.58,0.12,0.0,0.37,0.74,0.12,0.25,0.12,0.12,0.74,0.25,0.49,0.98,0.25,0.25,0.61,0.37,0.86,1.96,0.0,0.12,0.0,0.12,2.21,0.12,0.37,0.49,0.74,0.25,0.61,6.5,0.0,0.61,female
2.9,0.33,0.22,1.0,2.45,0.45,1.0,0.22,0.22,2.12,0.22,0.56,0.45,0.56,0.11,0.11,0.0,2.0,0.33,0.89,0.22,0.45,0.45,0.33,0.22,0.0,1.22,0.11,0.89,0.33,0.33,0.22,0.45,0.45,0.22,3.34,0.89,0.11,0.22,1.22,3.67,0.22,1.11,0.89,2.67,0.33,0.33,5.57,0.22,0.67,male
1.84,0.18,0.18,1.66,2.03,0.0,0.55,0.0,0.18,1.29,0.92,0.37,0.37,0.74,0.74,0.18,0.0,2.21,0.18,0.55,0.18,0.18,0.37,0.0,0.0,0.18,1.1,0.0,0.55,0.92,0.92,0.0,1.1,0.37,0.18,1.84,0.55,0.18,0.74,1.47,4.24,0.0,0.55,1.47,0.92,0.18,0.55,4.79,0.18,1.84,male
1.96,0.28,0.0,1.4,0.28,0.56,1.12,0.28,0.84,2.24,1.12,0.0,0.28,0.56,1.12,0.84,0.56,2.52,0.56,0.0,0.28,1.12,0.56,0.28,0.28,0.0,1.12,1.12,0.28,0.56,1.12,0.0,1.12,0.84,0.28,1.68,1.4,0.56,0.0,1.12,3.08,0.0,1.12,0.56,0.0,0.28,0.0,4.2,0.28,1.4,female
4.0,0.0,0.0,0.5,0.5,0.37,0.37,0.37,0.25,1.62,0.12,0.0,0.5,1.0,0.0,0.5,0.25,1.62,0.37,0.0,0.87,0.5,0.12,0.25,0.0,0.75,1.12,0.5,0.62,0.37,0.5,0.37,0.5,0.75,1.25,2.62,0.62,0.0,0.0,0.0,2.75,0.12,0.12,0.0,2.87,0.5,0.0,4.37,0.0,0.25,male
2.05,0.23,0.11,0.8,1.02,0.46,0.57,0.68,0.57,2.05,0.11,0.23,0.23,0.57,0.46,0.11,0.46,3.98,0.0,0.34,0.23,1.48,0.11,0.57,0.23,0.57,0.91,0.34,0.91,1.37,0.8,0.91,0.57,0.68,1.48,1.93,0.46,0.34,0.0,1.37,2.05,0.11,0.8,0.8,0.68,0.23,0.11,5.46,0.46,1.02,female
2.34,0.35,0.23,1.76,0.82,0.0,0.59,0.94,0.23,2.22,0.12,0.12,0.47,1.29,0.23,0.12,0.0,2.46,0.82,0.12,0.59,0.47,0.35,0.59,0.12,0.0,1.17,0.47,0.35,0.35,0.35,0.47,0.59,0.82,0.0,1.52,0.59,0.0,0.12,1.05,2.93,0.23,0.23,0.82,0.59,0.0,0.0,7.03,0.23,0.7,female
3.05,0.2,0.0,1.38,0.98,0.49,0.39,0.2,0.59,2.26,0.0,0.1,0.69,0.39,0.69,0.29,0.49,2.65,0.2,0.0,1.28,0.79,0.29,0.98,0.1,1.57,2.65,0.39,0.2,0.1,1.18,0.0,0.39,0.29,1.57,1.67,0.88,0.29,0.1,0.2,2.16,0.2,0.29,0.29,1.28,0.39,0.1,5.01,0.0,0.59,male
2.0,0.4,0.0,1.2,0.6,0.6,0.6,0.2,1.4,2.4,0.8,0.6,0.4,1.4,0.6,0.2,0.4,3.21,0.8,1.0,0.4,0.6,0.6,0.6,0.2,0.0,1.0,0.6,0.4,1.2,0.6,1.0,0.6,0.4,0.0,2.2,0.6,0.8,0.2,2.0,2.2,0.0,0.0,0.6,0.0,0.4,0.2,2.0,0.4,1.0,female
3.49,0.0,0.15,0.15,0.73,0.58,0.29,1.16,0.0,1.89,0.0,0.0,0.44,0.73,0.15,0.15,0.15,1.31,0.29,0.29,0.15,0.0,0.0,0.58,0.0,0.29,1.02,0.15,0.15,0.29,0.44,0.29,1.16,1.6,0.15,1.31,1.6,0.58,0.0,0.15,2.91,0.0,0.0,0.44,1.16,0.0,0.15,8.73,0.0,0.0,male
2.34,0.7,0.12,1.52,2.23,0.7,0.59,0.23,0.12,0.59,0.23,0.12,0.0,0.94,0.0,0.35,0.0,2.81,0.23,0.59,0.12,0.7,0.12,0.0,0.12,0.7,1.41,0.47,0.7,0.47,0.23,1.06,1.06,0.82,1.41,2.23,0.7,0.23,0.47,2.46,2.46,0.59,0.23,0.12,1.41,0.59,0.7,5.16,0.47,0.23,male
2.01,0.54,0.0,1.34,0.8,0.13,0.27,0.4,0.54,1.34,0.4,0.4,0.4,0.94,0.27,0.4,0.13,3.48,1.2,0.4,0.27,0.67,0.4,1.47,0.8,0.13,1.2,0.4,0.94,0.13,1.2,0.0,0.4,0.8,0.0,2.68,0.27,0.0,0.13,1.34,3.48,0.0,2.14,0.13,0.27,0.13,0.0,4.42,0.54,0.94,female
2.06,0.82,0.41,0.0,1.23,0.41,0.0,0.41,1.65,2.06,0.0,0.0,0.82,0.82,0.41,0.0,0.82,2.06,0.82,2.88,0.0,0.41,0.82,0.41,0.0,0.0,1.65,0.0,0.82,0.0,1.23,1.23,0.0,0.41,0.0,3.29,1.23,0.41,0.41,1.23,2.06,0.41,0.0,0.41,0.82,0.0,0.0,4.12,0.0,0.41,male
3.03,0.28,0.41,0.83,0.83,0.28,0.69,0.41,0.55,1.24,0.83,0.41,0.41,0.55,0.83,0.28,0.28,3.17,0.0,0.41,0.55,0.28,0.14,0.41,0.28,0.0,1.79,0.0,1.79,0.14,0.14,0.14,0.41,0.14,0.0,3.86,0.69,0.55,0.69,1.52,1.66,0.28,0.28,0.0,1.1,0.28,0.69,5.66,0.0,0.55,female
2.7,0.22,0.22,1.51,0.76,0.32,0.86,0.54,0.76,1.51,0.11,0.11,0.65,0.86,0.11,0.11,0.86,3.03,0.43,0.0,1.73,0.22,0.11,0.65,0.0,0.22,1.95,0.11,0.32,0.32,0.32,0.11,0.32,0.76,1.08,1.51,0.54,0.11,0.11,0.0,2.16,0.22,0.0,0.43,0.76,0.11,0.0,6.38,0.0,0.43,male
2.23,0.32,0.4,1.04,1.27,0.16,0.4,0.56,0.48,1.43,0.32,0.8,0.4,0.4,0.08,0.32,0.08,2.39,0.08,0.56,0.16,0.72,0.0,0.8,0.48,0.48,1.99,0.4,0.64,0.32,0.56,0.4,0.88,0.08,0.48,2.39,1.19,0.24,0.32,0.16,1.83,0.16,0.4,0.24,1.51,0.32,1.04,4.06,0.08,0.08,female
4.09,0.27,0.27,0.6,0.66,0.16,0.33,0.49,0.22,1.15,0.05,0.55,0.87,1.15,0.44,0.38,0.05,2.57,0.22,1.31,0.05,0.98,0.27,0.27,0.22,0.33,0.98,0.27,0.44,0.16,0.16,0.33,1.26,0.27,0.05,2.29,0.6,0.33,0.87,3.77,1.97,0.05,0.22,0.16,0.82,0.44,0.44,4.59,1.15,0.66,male
2.58,0.07,0.59,0.59,1.26,0.22,0.22,0.37,0.37,1.18,0.3,1.4,0.3,1.18,0.3,0.66,0.07,2.88,0.37,1.85,0.15,0.37,0.15,0.59,0.0,0.3,1.18,0.15,0.3,0.22,0.66,0.07,0.89,0.22,0.15,2.81,0.74,0.15,0.89,3.62,2.14,0.44,0.37,0.3,1.26,0.3,0.59,4.06,0.59,0.3,male
3.53,0.19,0.28,0.28,1.86,0.19,0.19,0.84,0.28,2.32,0.28,0.0,0.46,1.21,1.12,0.09,0.37,2.23,0.37,0.84,0.19,2.32,0.19,0.28,1.02,0.37,1.58,0.19,0.28,0.19,0.19,0.28,0.93,0.0,1.39,3.72,0.37,0.19,0.19,0.84,1.67,0.28,0.0,0.84,0.74,0.74,0.28,4.74,0.19,0.37,male
3.05,0.36,0.0,2.51,1.08,0.0,0.54,0.0,0.72,1.44,0.0,0.18,0.36,1.26,0.0,0.36,0.36,4.13,0.9,0.18,0.72,1.26,0.18,1.62,1.26,0.0,1.44,0.72,0.9,0.0,1.62,0.72,0.72,0.18,0.0,2.69,0.9,0.18,0.18,0.9,1.8,0.18,0.36,0.18,0.18,0.0,0.18,3.59,0.0,0.54,female
2.04,0.63,0.31,1.89,1.1,0.31,0.63,0.31,0.79,2.04,0.0,0.0,0.0,1.73,0.63,0.0,0.0,3.14,0.63,0.31,0.0,0.16,0.16,0.47,0.31,0.0,1.57,0.47,0.47,0.31,1.42,0.16,0.63,0.94,0.0,3.3,0.79,0.16,0.0,0.63,3.46,0.47,1.73,0.47,0.31,0.0,0.0,8.33,0.16,0.79,female
1.66,0.0,0.0,0.21,0.21,0.42,0.42,0.62,0.42,1.66,0.21,0.0,1.04,0.21,0.0,0.21,0.42,3.33,0.0,0.0,0.62,0.83,0.62,0.0,0.21,0.0,0.42,0.0,0.0,0.21,0.21,0.0,0.42,1.04,0.0,2.08,1.46,0.83,0.0,0.0,1.46,0.42,0.42,1.25,1.46,0.21,0.0,3.74,0.0,0.21,female
2.59,0.67,0.3,1.04,2.07,0.22,0.81,0.81,0.96,1.33,0.44,0.37,0.15,0.96,0.22,0.22,1.04,2.59,0.22,1.41,0.3,1.41,0.44,0.22,0.81,0.15,1.7,0.15,0.52,0.15,0.15,0.15,1.04,0.15,0.22,2.52,1.48,0.3,0.44,3.63,1.63,0.74,0.22,0.67,1.78,1.33,0.3,3.41,1.04,0.37,male
3.16,0.13,0.26,0.79,0.92,0.26,0.53,0.26,1.05,1.98,0.13,0.66,0.26,0.92,0.13,0.13,0.26,3.69,0.13,0.26,0.66,0.66,0.4,0.13,0.66,0.79,1.84,0.13,0.92,0.0,0.26,0.4,0.92,0.26,1.45,1.84,0.79,0.53,0.13,2.37,1.58,0.4,0.26,0.92,1.45,0.0,0.4,2.11,0.92,0.26,female
1.43,0.1,0.0,0.95,0.57,0.1,0.67,0.67,0.29,1.91,0.19,0.1,0.19,1.43,0.29,0.19,0.19,2.1,0.29,0.0,0.67,0.57,0.19,0.57,0.19,0.0,1.24,0.0,0.29,0.1,0.1,0.1,0.67,1.24,0.67,2.48,0.95,0.19,0.0,0.48,2.48,0.1,0.86,0.48,0.86,0.1,0.1,7.73,0.0,0.76,male
3.95,0.0,0.18,1.08,1.26,0.0,0.0,0.36,0.54,1.97,0.54,0.54,1.08,2.33,0.18,0.0,0.36,2.69,0.9,0.18,0.36,0.36,0.0,0.72,0.18,0.0,0.9,0.54,0.54,0.0,0.36,0.36,1.62,0.54,0.0,2.15,0.72,0.18,0.0,0.72,2.51,0.0,0.18,0.9,0.54,0.36,0.0,5.92,0.0,0.54,female
2.56,0.33,0.0,0.67,0.33,0.56,0.67,0.22,0.22,2.11,0.11,0.22,0.56,0.89,0.22,0.33,0.22,1.89,0.33,0.89,0.11,0.22,0.0,0.33,0.33,0.22,1.33,0.33,0.44,0.56,0.0,0.11,1.33,0.56,0.0,2.67,0.78,0.56,0.44,0.44,3.11,0.33,0.67,0.11,1.89,0.0,0.11,7.0,0.33,1.0,male
3.63,0.0,0.15,0.91,1.21,0.45,0.3,0.0,0.15,1.51,0.0,0.15,0.76,0.45,0.45,0.6,0.0,1.21,0.45,0.3,0.91,0.91,0.45,0.6,0.0,0.0,1.51,0.45,0.3,0.3,0.3,0.3,0.6,0.15,0.3,2.57,1.06,0.3,0.15,0.76,3.93,0.3,0.6,0.3,1.66,0.0,0.0,6.65,0.15,0.15,male
2.26,0.1,0.39,1.18,0.59,0.39,0.39,0.39,0.69,1.28,0.0,0.1,0.69,0.89,0.59,0.39,0.39,3.94,0.49,0.49,0.59,0.98,0.3,0.59,0.0,0.39,1.28,0.69,0.49,0.49,0.69,0.2,0.89,0.3,0.39,1.28,0.79,0.69,0.3,1.48,2.76,0.39,1.38,0.49,0.98,0.2,0.0,5.81,0.89,0.49,female
1.52,0.3,0.3,0.3,1.22,0.91,0.0,0.3,0.0,3.05,0.3,0.0,1.22,2.74,0.0,0.0,0.0,1.22,0.61,0.61,0.0,0.0,0.0,2.13,0.0,0.0,0.3,0.3,0.3,0.3,0.61,0.0,0.0,0.91,0.0,1.83,1.22,1.22,0.3,1.52,2.44,0.3,0.91,1.83,1.52,0.91,0.0,6.4,0.0,1.22,male
2.29,0.33,0.0,0.82,0.33,0.16,0.33,0.49,0.65,0.82,0.16,0.49,1.14,1.31,0.98,0.16,0.33,3.27,0.16,0.0,0.98,0.16,0.33,1.31,0.82,0.16,1.14,0.33,0.98,0.49,0.65,0.16,0.82,0.49,0.0,1.47,1.14,0.98,0.16,0.98,3.59,0.0,0.16,0.65,0.82,0.33,0.16,5.88,0.16,1.14,female
3.71,0.44,0.44,0.87,1.31,0.22,0.44,0.66,0.0,1.75,0.66,0.66,0.87,0.66,0.66,0.87,0.22,1.97,0.0,0.66,0.66,0.0,0.22,0.22,0.66,0.66,1.09,0.44,0.66,0.0,0.22,0.22,0.87,0.22,0.44,2.84,1.31,0.87,0.22,2.18,1.31,0.0,0.44,0.22,1.09,0.22,0.87,3.49,0.87,0.22,female
3.14,0.69,0.16,0.48,2.07,0.27,0.43,0.64,0.21,1.59,0.58,0.48,0.27,0.58,0.64,0.37,0.11,3.08,0.0,0.74,0.11,2.29,0.32,0.48,2.6,0.0,1.33,0.11,0.64,0.53,0.27,0.43,1.17,0.16,0.32,2.34,0.85,0.48,0.8,2.98,1.65,0.32,0.27,0.48,0.85,0.85,0.48,3.46,0.43,0.11,male
1.23,0.11,0.45,1.23,3.14,0.22,1.01,0.67,0.22,1.57,0.0,0.22,0.22,0.79,0.79,0.56,0.56,2.58,0.56,1.35,0.22,1.35,0.34,1.12,0.45,0.0,1.35,0.45,0.45,0.45,0.67,0.34,0.67,0.22,0.0,2.58,1.23,0.67,0.22,1.68,2.47,0.79,0.0,0.67,2.13,0.79,0.22,5.61,0.11,0.11,male
3.8,0.45,0.0,1.45,0.22,0.11,0.11,0.34,0.45,1.57,0.11,0.11,0.45,1.57,0.45,0.11,0.11,3.47,0.45,0.22,0.22,0.22,0.11,0.34,0.11,0.22,0.67,0.22,0.45,0.22,0.22,0.11,1.12,0.56,0.0,2.91,0.78,0.34,0.11,0.78,3.02,0.0,0.56,0.34,1.01,0.0,0.11,6.26,0.22,0.67,female
1.3,0.12,0.0,0.36,0.83,0.0,0.47,0.71,0.12,1.66,0.12,0.24,0.12,0.83,0.0,0.59,0.24,1.78,0.12,0.95,0.47,0.83,0.0,0.12,0.24,2.01,1.3,0.71,0.59,0.12,0.12,0.24,1.18,0.24,2.01,3.43,0.71,1.07,1.07,2.72,1.66,0.24,0.36,0.12,1.54,0.0,1.42,4.97,0.24,0.0,male
4.16,0.45,0.72,1.63,0.45,0.45,0.54,0.36,0.99,1.72,0.0,0.0,0.45,0.99,0.63,0.27,0.36,1.9,1.72,0.63,0.18,0.09,0.09,0.54,0.0,0.0,0.63,0.27,0.63,0.63,0.36,0.18,0.63,0.54,0.0,1.45,0.99,0.18,0.18,0.63,2.08,0.09,1.26,0.36,0.54,0.0,0.0,4.88,0.27,1.99,female
2.12,0.37,0.85,0.85,1.43,0.27,0.64,0.69,0.69,1.64,0.27,0.9,0.32,0.74,0.16,0.58,0.21,3.4,0.27,1.86,0.11,1.06,0.74,1.01,0.05,0.05,1.7,0.16,0.42,0.16,0.27,0.11,0.9,0.27,0.11,2.92,0.42,0.32,0.32,5.73,2.07,0.37,0.27,0.16,1.7,0.42,0.48,3.4,0.9,0.32,male
2.8,0.2,0.2,1.0,0.5,0.2,0.9,0.5,0.4,2.5,0.1,0.0,0.6,0.8,0.1,0.1,0.3,4.7,0.5,0.0,0.4,0.5,0.0,0.8,0.3,1.7,1.2,0.7,0.2,0.0,0.3,0.0,0.7,0.6,1.3,2.4,0.9,0.1,0.0,0.0,2.7,0.5,0.0,0.5,1.2,0.3,0.0,4.4,0.0,0.3,male
2.38,0.2,0.0,0.6,0.99,0.0,0.0,0.2,0.2,1.79,0.2,0.4,0.4,0.4,0.0,0.4,0.0,2.78,0.0,0.6,0.4,0.6,0.0,0.79,0.4,0.0,0.79,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.4,3.57,0.4,0.2,0.2,1.19,1.98,0.2,0.2,0.4,0.6,1.19,0.0,3.57,0.2,0.2,male
2.83,0.47,0.31,0.79,2.04,0.63,0.94,0.31,0.79,2.67,0.16,0.0,0.63,0.79,1.1,0.31,0.47,2.67,0.16,0.31,0.31,0.79,0.16,0.79,0.0,0.0,1.57,0.16,0.31,0.31,0.47,0.16,1.26,0.16,0.0,1.1,0.31,0.16,0.0,0.63,2.36,0.16,1.1,0.16,1.1,0.0,0.16,3.77,0.16,1.26,female
2.55,0.64,0.28,0.64,2.27,0.21,0.85,0.64,0.57,1.49,0.5,0.78,0.28,1.06,0.28,0.43,0.35,2.48,0.14,1.84,0.43,1.06,0.43,0.35,0.35,0.07,1.35,0.21,0.07,0.21,0.21,0.21,0.85,0.07,0.5,2.62,1.7,0.5,0.57,4.32,1.35,0.28,0.28,0.14,1.06,0.71,0.0,3.76,1.35,0.35,male
1.58,0.35,0.0,0.88,0.35,0.35,0.88,0.53,0.53,2.28,0.18,0.18,0.0,0.53,0.0,0.18,0.18,2.81,0.18,0.0,0.18,0.88,0.18,0.53,0.18,1.58,0.88,0.53,0.35,0.18,0.0,0.35,0.53,0.35,2.11,3.34,1.05,0.35,0.18,1.23,2.46,0.35,0.18,0.18,1.58,0.18,0.53,3.51,1.93,0.0,male
2.27,0.0,0.97,0.0,1.94,0.0,0.32,0.97,1.62,1.62,0.97,1.29,0.32,0.65,0.32,0.32,0.0,5.5,0.0,4.85,0.32,0.32,0.0,1.29,0.0,0.0,0.65,0.0,0.32,0.32,0.0,0.0,0.65,0.0,0.0,1.62,0.65,0.32,0.0,0.0,2.27,0.0,1.29,0.32,0.32,0.32,0.0,3.56,0.0,1.62,male
