% 1. Title: Gender Text Database 
@RELATION genderText

@ATTRIBUTE	all	NUMERIC
@ATTRIBUTE	just	NUMERIC
@ATTRIBUTE	over	NUMERIC
@ATTRIBUTE	years	NUMERIC
@ATTRIBUTE	its	NUMERIC
@ATTRIBUTE	how	NUMERIC
@ATTRIBUTE	had	NUMERIC
@ATTRIBUTE	to	NUMERIC
@ATTRIBUTE	has	NUMERIC
@ATTRIBUTE	then	NUMERIC
@ATTRIBUTE	them	NUMERIC
@ATTRIBUTE	his	NUMERIC
@ATTRIBUTE	get	NUMERIC
@ATTRIBUTE	breast	NUMERIC
@ATTRIBUTE	they	NUMERIC
@ATTRIBUTE	not	NUMERIC
@ATTRIBUTE	now	NUMERIC
@ATTRIBUTE	like	NUMERIC
@ATTRIBUTE	did	NUMERIC
@ATTRIBUTE	t	NUMERIC
@ATTRIBUTE	where	NUMERIC
@ATTRIBUTE	because	NUMERIC
@ATTRIBUTE	says	NUMERIC
@ATTRIBUTE	people	NUMERIC
@ATTRIBUTE	some	NUMERIC
@ATTRIBUTE	back	NUMERIC
@ATTRIBUTE	are	NUMERIC
@ATTRIBUTE	year	NUMERIC
@ATTRIBUTE	our	NUMERIC
@ATTRIBUTE	really	NUMERIC
@ATTRIBUTE	what	NUMERIC
@ATTRIBUTE	said	NUMERIC
@ATTRIBUTE	for	NUMERIC
@ATTRIBUTE	re	NUMERIC
@ATTRIBUTE	new	NUMERIC
@ATTRIBUTE	she	NUMERIC
@ATTRIBUTE	be	NUMERIC
@ATTRIBUTE	we	NUMERIC
@ATTRIBUTE	after	NUMERIC
@ATTRIBUTE	by	NUMERIC
@ATTRIBUTE	on	NUMERIC
@ATTRIBUTE	about	NUMERIC
@ATTRIBUTE	her	NUMERIC
@ATTRIBUTE	of	NUMERIC
@ATTRIBUTE	s	NUMERIC
@ATTRIBUTE	or	NUMERIC
@ATTRIBUTE	first	NUMERIC
@ATTRIBUTE	cancer	NUMERIC
@ATTRIBUTE	into	NUMERIC
@ATTRIBUTE	one	NUMERIC
@ATTRIBUTE	your	NUMERIC
@ATTRIBUTE	from	NUMERIC
@ATTRIBUTE	would	NUMERIC
@ATTRIBUTE	there	NUMERIC
@ATTRIBUTE	two	NUMERIC
@ATTRIBUTE	been	NUMERIC
@ATTRIBUTE	their	NUMERIC
@ATTRIBUTE	much	NUMERIC
@ATTRIBUTE	music	NUMERIC
@ATTRIBUTE	was	NUMERIC
@ATTRIBUTE	more	NUMERIC
@ATTRIBUTE	that	NUMERIC
@ATTRIBUTE	but	NUMERIC
@ATTRIBUTE	with	NUMERIC
@ATTRIBUTE	than	NUMERIC
@ATTRIBUTE	he	NUMERIC
@ATTRIBUTE	me	NUMERIC
@ATTRIBUTE	this	NUMERIC
@ATTRIBUTE	up	NUMERIC
@ATTRIBUTE	will	NUMERIC
@ATTRIBUTE	can	NUMERIC
@ATTRIBUTE	were	NUMERIC
@ATTRIBUTE	my	NUMERIC
@ATTRIBUTE	and	NUMERIC
@ATTRIBUTE	ve	NUMERIC
@ATTRIBUTE	do	NUMERIC
@ATTRIBUTE	is	NUMERIC
@ATTRIBUTE	it	NUMERIC
@ATTRIBUTE	an	NUMERIC
@ATTRIBUTE	as	NUMERIC
@ATTRIBUTE	good	NUMERIC
@ATTRIBUTE	at	NUMERIC
@ATTRIBUTE	have	NUMERIC
@ATTRIBUTE	in	NUMERIC
@ATTRIBUTE	if	NUMERIC
@ATTRIBUTE	no	NUMERIC
@ATTRIBUTE	when	NUMERIC
@ATTRIBUTE	also	NUMERIC
@ATTRIBUTE	other	NUMERIC
@ATTRIBUTE	which	NUMERIC
@ATTRIBUTE	you	NUMERIC
@ATTRIBUTE	out	NUMERIC
@ATTRIBUTE	who	NUMERIC
@ATTRIBUTE	a	NUMERIC
@ATTRIBUTE	i	NUMERIC
@ATTRIBUTE	many	NUMERIC
@ATTRIBUTE	m	NUMERIC
@ATTRIBUTE	so	NUMERIC
@ATTRIBUTE	time	NUMERIC
@ATTRIBUTE	the	NUMERIC
@ATTRIBUTE	gender	{male,female}

@DATA
0.09,0.09,0.0,0.17,0.0,0.26,0.09,1.45,0.26,0.17,0.43,0.51,0.09,0.0,0.6,0.51,0.26,0.43,0.34,0.6,0.0,0.26,0.09,0.0,0.0,0.0,0.34,0.0,0.34,0.09,0.6,0.0,1.71,0.0,0.43,0.26,0.51,0.34,0.0,0.51,0.51,0.34,1.11,2.22,1.45,0.6,0.0,0.0,0.0,0.26,0.0,0.17,0.51,0.09,0.09,0.26,0.09,0.0,0.0,1.02,0.26,1.02,0.34,0.85,0.09,0.6,0.0,0.34,0.17,0.26,0.09,0.17,0.17,2.05,0.09,0.26,0.68,0.77,0.34,1.11,0.17,0.17,0.6,2.3,0.26,0.51,0.09,0.0,0.17,0.17,0.26,0.17,0.26,2.65,0.51,0.0,0.09,0.09,0.17,3.75,female
0.1,0.5,0.0,0.0,0.1,0.1,0.1,2.29,0.4,0.2,0.1,0.4,0.3,0.0,0.3,0.5,0.3,0.2,0.4,1.09,0.1,0.3,0.2,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.2,0.1,0.9,0.0,0.2,0.6,0.8,0.4,0.2,0.5,1.0,0.1,0.6,1.79,0.8,0.7,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.1,0.0,0.0,0.4,0.0,0.0,0.5,0.3,1.49,0.4,0.3,0.1,0.6,0.0,0.3,0.1,0.1,0.4,0.4,0.0,1.59,0.0,0.1,0.8,0.4,0.6,0.6,0.2,0.2,0.3,1.89,0.4,0.3,0.3,0.0,0.3,0.1,0.6,0.3,0.9,2.79,0.0,0.0,0.0,0.2,0.0,4.38,female
0.89,0.0,0.15,0.15,0.0,0.15,0.45,3.28,0.3,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.45,0.6,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.3,0.0,2.38,0.45,0.75,0.0,1.19,0.0,0.6,0.0,0.15,2.24,0.45,0.89,1.19,0.45,0.45,1.79,0.89,0.3,1.04,0.0,0.0,0.15,0.6,0.3,0.3,0.15,0.0,0.15,0.3,0.15,1.49,0.6,0.75,0.15,0.89,0.6,0.15,0.0,0.45,0.75,0.15,0.0,0.0,0.15,0.0,2.68,0.0,0.15,1.19,0.75,0.3,0.45,0.0,0.15,0.6,1.94,0.0,0.3,0.15,0.75,0.3,0.3,1.49,0.0,0.3,2.38,0.6,0.0,0.0,0.3,0.15,5.07,male
0.3,0.0,0.0,0.0,0.0,0.15,0.0,3.16,0.3,0.15,0.15,0.0,0.0,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.15,0.6,0.0,0.0,0.0,0.15,1.5,0.15,0.0,0.0,0.0,0.0,0.75,0.0,0.15,0.0,1.2,0.3,0.0,0.9,0.6,0.45,0.0,2.71,0.15,0.45,0.15,3.91,0.0,0.15,0.6,0.3,0.15,0.45,0.15,0.15,0.45,0.3,0.0,0.15,0.6,1.5,0.75,0.45,0.0,0.0,0.15,0.9,0.15,0.45,0.75,0.15,0.15,2.41,0.0,0.15,1.65,1.35,0.15,1.05,0.15,0.45,0.6,1.8,0.45,0.0,0.0,0.3,0.6,1.05,0.6,0.15,0.3,0.9,0.3,0.0,0.0,0.15,0.15,7.22,female
0.18,0.0,0.0,0.18,0.0,0.18,0.55,2.74,0.0,0.37,0.0,0.18,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.0,0.18,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,1.28,0.0,0.0,0.91,0.18,0.37,0.0,0.91,0.55,0.0,1.1,4.39,0.55,0.55,0.18,0.0,0.37,0.18,0.0,0.37,0.55,0.37,0.18,0.18,0.55,0.18,0.0,1.65,0.0,0.73,0.18,0.37,0.0,0.0,0.0,0.91,0.18,0.37,0.18,0.18,1.83,3.29,0.18,0.0,0.37,0.18,0.37,1.1,0.0,0.73,0.37,1.65,0.0,0.18,0.18,0.37,0.0,0.0,0.0,0.0,0.18,2.56,0.91,0.37,0.0,0.18,0.18,7.68,female
0.56,0.19,0.0,0.19,0.19,0.93,0.0,1.67,0.19,0.0,0.19,0.37,0.37,0.0,0.19,0.19,0.19,0.37,0.0,0.19,0.0,0.0,0.19,0.19,0.19,0.19,0.37,0.0,0.0,0.0,0.37,0.0,1.11,0.0,0.19,0.0,0.0,0.19,0.0,0.37,0.74,0.93,0.19,4.26,0.93,1.11,0.37,0.0,0.19,0.93,0.0,1.11,0.19,0.19,0.19,0.19,0.56,0.37,0.0,0.0,0.56,1.11,0.93,0.93,0.0,0.56,0.0,1.11,0.19,0.19,0.19,0.0,0.19,1.85,0.19,0.37,1.48,0.74,0.56,1.11,0.0,0.93,0.19,1.85,0.0,0.0,0.19,0.19,0.37,0.19,0.93,0.19,0.37,2.04,1.3,0.0,0.19,0.19,0.0,7.22,male
0.24,0.12,0.24,0.12,0.6,0.24,0.0,2.74,0.12,0.12,0.24,0.0,0.12,1.07,0.48,0.48,0.6,0.12,0.12,0.0,0.24,0.12,0.0,0.48,0.0,0.0,0.48,0.24,0.12,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.24,0.12,0.0,0.83,0.72,0.24,0.24,2.62,1.07,0.12,0.0,1.19,0.0,0.12,0.0,0.48,0.24,0.12,0.0,0.12,0.12,0.24,0.0,0.72,0.24,0.6,0.48,1.55,0.24,0.0,0.0,0.72,0.12,0.12,0.48,0.36,0.6,3.69,0.0,0.36,1.19,0.6,0.36,0.83,0.0,0.36,0.48,1.07,0.12,0.24,0.36,0.24,0.24,0.36,0.36,0.0,0.6,1.43,1.19,0.24,0.0,0.24,0.12,6.32,female
0.51,0.43,0.14,0.14,0.0,0.22,0.07,3.84,0.14,0.14,0.22,0.14,0.22,0.0,0.72,0.07,0.29,0.29,0.07,0.43,0.14,0.22,0.0,0.43,0.29,0.14,0.29,0.14,0.0,0.43,0.22,0.07,0.94,0.22,0.36,0.0,0.72,0.07,0.0,0.07,0.43,0.43,0.0,3.69,0.94,0.22,0.07,0.0,0.43,0.29,0.14,0.65,0.14,0.43,0.07,0.07,0.14,0.14,0.8,0.29,0.29,0.29,0.58,1.16,0.0,0.14,0.72,0.14,0.36,0.07,0.8,0.0,1.52,2.32,0.65,0.51,0.51,1.16,0.43,0.72,0.07,0.43,0.72,1.45,0.0,0.07,0.51,0.14,0.07,1.01,0.14,0.14,0.07,3.04,4.42,0.14,0.29,0.51,0.29,3.91,male
0.23,0.46,0.15,0.0,0.15,0.23,0.15,2.16,0.54,0.15,0.0,0.39,0.0,0.0,0.31,0.93,0.23,0.23,0.0,0.93,0.08,0.0,0.08,0.15,0.0,0.08,0.54,0.0,0.54,0.0,0.54,0.15,0.46,0.23,0.31,0.23,0.77,0.31,0.0,1.08,0.46,0.31,0.23,2.47,2.08,0.31,0.15,0.0,0.23,0.31,0.08,0.08,0.31,0.08,0.39,0.31,0.15,0.08,0.0,0.69,0.08,2.01,0.85,0.54,0.08,0.62,0.0,0.31,0.23,0.0,0.23,0.46,0.23,1.54,0.0,0.15,0.77,1.39,0.54,0.23,0.23,0.77,0.54,1.31,0.39,0.54,0.23,0.08,0.15,0.23,0.23,0.39,0.77,2.24,0.77,0.0,0.23,0.08,0.15,5.86,female
0.09,0.27,0.09,0.18,0.09,0.09,0.27,3.32,0.27,0.18,0.0,1.26,0.0,0.0,0.0,0.72,0.0,0.18,0.0,0.0,0.36,0.18,0.18,0.09,0.18,0.09,0.27,0.18,0.0,0.0,0.45,0.27,0.99,0.0,0.0,0.0,0.54,0.09,0.0,0.45,0.72,0.27,0.0,1.89,1.35,0.18,0.27,0.0,0.18,0.18,0.0,0.27,0.63,0.18,0.0,0.09,0.0,0.0,0.0,1.17,0.18,1.71,0.45,0.9,0.09,2.06,0.09,0.36,0.27,0.27,0.18,0.0,0.09,3.41,0.0,0.36,1.89,0.72,0.54,0.81,0.0,0.54,0.45,1.8,0.45,0.09,0.54,0.0,0.27,0.0,0.0,0.09,0.45,2.06,1.53,0.09,0.0,0.54,0.09,4.22,male
0.0,0.0,0.0,0.79,0.26,0.0,0.26,2.36,0.0,0.26,0.0,0.0,0.0,0.0,0.26,0.52,0.0,0.26,0.0,0.79,0.0,0.26,0.0,0.0,0.26,0.52,0.26,1.31,0.26,0.0,0.26,0.0,1.57,0.0,0.0,2.09,0.0,0.52,0.26,0.26,0.26,1.31,1.05,2.09,1.31,0.26,0.52,0.0,0.26,1.05,0.0,0.26,0.0,0.0,0.0,0.26,0.26,0.0,0.0,0.52,0.52,1.57,0.26,0.26,0.52,0.0,0.0,0.79,0.26,0.0,0.0,0.0,0.0,1.83,0.26,0.0,1.05,0.0,0.0,1.31,0.26,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.52,3.66,0.52,0.52,0.0,0.52,0.26,4.19,female
0.43,0.11,0.22,0.11,0.76,0.43,0.22,2.06,0.54,0.33,0.11,0.43,0.11,0.0,0.11,0.33,0.33,0.11,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.11,0.33,0.22,0.98,0.0,0.33,0.0,0.54,0.43,0.11,0.65,0.65,0.43,0.11,2.82,2.28,0.33,0.33,0.0,0.11,0.22,0.0,0.54,1.08,0.33,0.11,0.33,0.22,0.0,0.0,1.3,0.33,1.19,0.22,0.98,0.22,1.52,0.0,0.22,0.0,0.11,0.33,0.11,0.0,2.82,0.0,0.0,0.76,0.33,0.43,0.87,0.0,0.33,0.65,1.52,0.11,0.22,0.11,0.0,0.11,0.0,0.11,0.22,0.43,1.08,0.22,0.11,0.0,0.33,0.0,6.51,male
0.21,0.53,0.0,0.0,0.11,0.11,0.43,1.81,0.43,0.0,0.0,0.43,0.0,0.11,0.53,0.43,0.0,0.32,0.11,0.75,0.0,0.11,0.0,0.21,0.0,0.0,0.43,0.0,0.32,0.21,0.11,0.11,0.64,0.11,0.11,0.32,0.21,0.0,0.21,0.32,0.53,0.32,0.96,1.92,1.28,0.11,0.0,0.0,0.21,0.85,0.11,0.43,0.32,0.0,0.32,0.11,0.11,0.32,0.0,1.07,0.11,1.28,0.75,0.96,0.11,0.43,0.11,0.53,0.53,0.43,0.21,0.32,0.0,2.24,0.0,0.21,0.64,0.85,0.53,1.07,0.0,0.53,0.43,2.67,0.32,0.11,0.21,0.21,0.96,0.11,0.53,0.32,0.64,2.35,0.21,0.21,0.11,0.53,0.11,4.37,female
0.15,0.3,0.0,0.0,0.3,0.0,0.0,2.9,0.0,0.0,0.3,0.15,0.0,0.0,0.15,0.3,0.0,0.0,0.0,0.46,0.0,0.15,0.0,0.15,0.0,0.15,0.46,0.15,0.3,0.0,0.3,0.0,0.76,0.15,0.0,0.0,0.3,0.0,0.3,0.46,1.22,0.0,0.0,5.34,1.22,0.15,0.15,0.0,0.46,0.15,0.61,0.46,0.3,0.3,0.0,0.0,0.15,0.0,0.3,0.46,0.0,1.83,0.46,0.46,0.15,0.0,0.0,0.61,0.3,0.0,0.0,0.0,0.0,2.29,0.0,0.3,1.83,1.52,0.0,0.61,0.15,0.46,0.0,1.22,0.15,0.15,0.46,0.0,0.0,0.3,0.91,0.15,0.15,2.74,0.91,0.0,0.15,0.61,0.15,9.3,male
0.33,0.0,0.0,0.0,0.33,0.0,0.66,0.66,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.99,0.99,0.0,0.66,0.0,0.33,0.66,0.66,0.99,3.3,0.66,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.66,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.98,0.99,0.66,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.33,0.0,1.32,0.0,0.0,0.99,1.65,0.66,2.31,0.33,0.99,0.0,2.64,0.0,0.66,0.33,0.0,0.0,0.33,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,6.27,female
0.29,0.29,0.0,0.0,0.0,0.14,0.0,3.32,0.0,0.29,0.14,0.0,0.14,0.0,0.0,0.29,0.29,0.14,0.0,0.43,0.14,0.58,0.29,0.0,0.29,0.14,0.29,0.0,0.0,0.0,0.0,0.72,1.45,0.0,1.01,0.0,0.14,0.14,0.14,0.14,0.43,0.29,0.0,1.88,0.43,0.29,0.14,0.72,0.0,0.72,0.58,1.01,0.0,0.29,0.43,0.0,0.29,0.0,0.0,0.72,0.43,1.45,0.87,0.43,0.0,0.0,0.43,0.0,0.43,0.14,0.43,0.0,1.16,2.89,0.0,0.14,0.43,1.16,0.14,0.43,0.14,0.0,0.14,0.43,0.29,0.14,0.72,0.29,0.0,0.72,1.59,0.0,0.0,2.89,2.6,0.0,0.0,0.14,0.14,2.17,male
0.0,0.16,0.0,0.0,0.0,0.0,0.0,2.27,0.49,0.16,0.32,0.0,0.49,0.0,1.14,0.65,0.16,0.0,0.0,0.32,0.32,0.32,0.49,0.32,0.16,0.0,1.62,0.65,0.0,0.0,0.16,0.0,0.81,0.0,0.16,0.16,0.32,0.32,0.49,0.49,0.97,0.0,0.16,2.27,0.65,0.16,0.0,0.0,0.16,0.32,0.0,0.49,0.16,0.49,0.16,0.49,0.49,0.0,0.0,0.81,0.65,1.14,0.32,0.16,0.0,0.32,0.0,0.81,0.16,0.49,0.0,0.32,0.0,2.27,0.0,0.32,0.97,0.49,0.32,0.65,0.0,0.32,0.49,2.92,0.0,0.32,0.16,0.16,0.16,0.0,0.16,0.0,0.81,3.41,0.32,0.0,0.16,0.0,0.0,5.68,female
0.0,0.27,0.18,0.45,0.0,0.09,0.36,2.45,0.63,0.09,0.27,1.45,0.0,0.0,0.36,0.54,0.54,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.27,0.09,0.91,0.0,0.0,0.18,0.63,0.36,0.27,0.54,1.0,0.18,0.54,2.54,1.09,0.54,0.18,0.0,0.27,0.18,0.0,0.27,0.36,0.0,0.09,0.45,0.18,0.0,0.0,1.27,0.09,1.45,0.45,0.45,0.0,1.45,0.09,0.54,0.45,0.36,0.18,0.45,0.18,3.44,0.0,0.09,1.36,0.63,0.36,0.72,0.0,0.18,0.54,1.9,0.18,0.09,0.72,0.36,0.0,0.27,0.0,0.18,0.18,1.54,0.27,0.09,0.0,0.27,0.18,5.71,male
0.45,0.45,0.0,0.0,0.23,0.23,0.0,4.52,0.0,0.0,0.68,0.23,0.0,0.0,0.45,0.68,0.0,0.0,0.0,0.23,0.0,0.23,0.9,0.23,0.0,0.0,0.45,0.23,0.0,0.0,0.23,0.0,0.68,0.23,0.68,0.0,1.36,0.0,0.68,0.0,0.9,0.0,0.0,3.39,0.9,0.68,0.0,0.0,0.23,0.45,0.23,0.0,0.45,0.23,0.0,0.23,0.0,0.0,0.0,0.23,0.45,0.9,0.23,0.68,0.0,0.45,0.0,0.0,0.45,0.23,0.68,0.0,0.0,2.49,0.23,0.0,1.13,1.13,0.0,0.9,0.0,0.0,0.0,2.26,0.68,0.0,0.0,0.0,0.23,0.0,0.9,0.0,0.0,2.26,0.0,0.0,0.0,0.23,0.23,5.43,female
0.18,0.0,1.1,0.0,0.0,0.0,0.0,3.11,0.18,0.0,0.0,0.0,0.18,0.0,0.91,0.18,0.55,0.18,0.0,1.1,0.18,0.0,1.1,0.91,0.18,0.0,1.1,0.37,0.0,0.0,0.0,0.18,0.91,0.0,0.0,0.37,0.55,0.0,0.0,0.37,0.55,0.55,0.0,2.56,1.1,0.55,0.0,0.0,0.37,0.18,0.18,0.18,0.0,0.18,0.37,0.0,1.1,0.37,0.0,0.18,0.73,1.1,0.37,0.55,0.37,0.18,0.0,0.37,0.37,0.55,0.91,0.18,0.0,1.83,0.0,0.0,1.46,1.1,0.18,1.1,0.0,0.55,0.91,2.19,0.0,0.18,0.0,0.0,0.37,0.0,0.37,0.37,0.18,2.01,0.0,0.18,0.0,0.18,0.37,5.12,female
0.14,0.0,0.0,0.14,0.0,0.14,0.0,0.95,0.14,0.41,0.0,0.27,0.14,0.0,0.14,0.27,0.0,0.14,0.0,1.09,0.14,0.41,0.0,0.14,0.14,0.41,0.0,0.0,0.14,0.0,0.14,0.14,0.54,0.0,0.27,0.0,0.54,0.0,0.0,0.54,0.41,0.27,0.0,2.59,0.95,0.27,0.14,0.0,0.27,0.54,0.0,0.27,0.54,0.14,0.14,0.27,0.14,0.0,0.0,1.77,0.0,1.09,0.27,0.82,0.14,1.5,0.14,0.14,0.41,0.0,0.41,0.41,0.41,1.5,0.0,0.14,0.14,0.14,0.14,1.63,0.0,1.09,0.95,2.59,0.27,0.27,0.41,0.41,0.14,0.0,0.27,0.14,0.54,2.86,3.27,0.27,0.14,0.14,0.14,5.44,male
0.38,0.76,0.19,0.0,0.38,0.19,0.0,2.08,0.38,0.0,0.0,0.0,0.19,2.27,0.0,0.38,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.19,0.19,0.0,0.95,0.19,0.38,0.0,0.19,0.0,0.57,0.0,0.0,0.0,0.0,0.19,0.0,0.57,1.13,0.0,0.0,3.78,0.76,0.19,0.0,2.27,0.19,0.57,0.19,0.57,0.19,0.19,0.0,0.0,0.38,0.19,0.0,0.19,0.38,0.38,0.38,0.76,0.0,0.0,0.0,1.13,0.19,0.57,0.19,0.0,0.38,2.08,0.0,0.19,2.27,0.38,0.0,0.19,0.0,0.76,0.95,1.13,0.38,0.38,0.0,0.38,0.0,0.76,0.95,0.0,0.19,2.65,1.7,0.76,0.19,0.0,0.0,4.16,female
0.32,0.21,0.11,0.0,0.0,0.11,0.11,1.89,0.21,0.42,0.0,0.53,0.0,0.0,0.53,0.32,0.42,0.53,0.0,0.53,0.0,0.11,0.0,0.21,0.21,0.0,0.74,0.11,0.11,0.0,0.63,0.11,0.63,0.21,0.11,0.11,0.0,0.21,0.42,0.21,1.26,0.32,0.21,2.31,1.26,0.53,0.0,0.0,0.0,0.42,0.11,0.21,0.32,0.42,0.32,0.11,0.11,0.0,0.0,0.63,0.32,1.79,0.53,0.53,0.0,1.16,0.0,0.42,0.0,0.32,0.53,0.21,0.11,2.63,0.11,0.11,0.84,0.32,0.63,0.63,0.11,0.0,0.42,1.47,0.11,0.32,0.0,0.11,0.21,0.21,0.95,0.42,0.74,1.26,0.21,0.11,0.11,0.32,0.32,4.84,female
0.13,0.0,0.52,0.39,0.13,0.66,0.13,4.06,0.39,0.13,0.26,0.0,0.0,1.97,0.39,0.79,0.13,0.0,0.13,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.79,0.13,0.0,0.0,0.13,0.0,1.31,0.0,0.39,0.0,1.57,0.0,0.26,0.39,0.52,0.13,0.52,2.23,0.52,0.26,0.0,1.18,0.0,0.26,0.26,1.05,0.13,0.52,0.13,0.13,0.52,0.26,0.0,0.0,0.26,1.97,0.26,0.66,0.13,0.0,0.13,0.13,0.26,1.05,0.39,0.13,0.0,1.97,0.0,0.0,2.1,1.18,0.13,0.39,0.0,0.52,0.92,1.44,0.52,0.52,0.26,0.0,0.0,0.39,0.13,0.26,0.52,1.44,0.26,0.52,0.0,0.0,0.39,5.24,female
0.0,0.69,0.35,0.35,0.69,0.0,0.0,2.42,0.69,0.35,0.0,0.0,0.35,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.35,0.35,1.73,0.0,0.0,0.0,0.35,0.0,0.35,1.38,0.35,0.35,0.0,2.42,1.38,0.0,0.0,0.0,0.0,0.35,0.35,0.69,0.0,0.0,0.69,0.0,0.69,0.35,0.0,1.04,0.69,1.73,0.0,0.35,0.35,0.0,0.0,1.38,0.0,0.69,0.0,0.0,0.0,1.38,0.0,0.0,1.04,2.77,0.0,0.35,0.0,0.35,0.35,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,1.73,0.0,0.0,0.0,0.35,0.35,5.54,male
0.21,0.11,0.32,0.64,1.39,0.11,0.11,2.57,1.39,0.21,0.11,0.11,0.0,0.0,0.11,0.54,0.21,0.0,0.0,0.11,0.0,0.64,0.0,0.0,0.11,0.0,0.54,0.11,0.0,0.0,0.0,0.11,1.18,0.0,0.11,0.0,0.32,0.0,0.0,0.75,0.86,0.0,0.0,2.78,1.18,0.11,0.11,0.0,0.0,0.0,0.11,0.32,0.32,0.0,0.11,0.75,0.64,0.0,0.0,0.11,0.21,1.61,0.21,0.64,0.21,0.21,0.0,0.21,0.43,0.0,0.11,0.11,0.0,2.03,0.0,0.11,1.07,0.86,0.75,0.86,0.11,0.32,0.86,2.14,0.11,0.0,0.0,0.11,0.11,0.54,0.0,0.0,0.11,1.61,0.0,0.21,0.0,0.21,0.0,5.57,male
0.23,0.0,0.23,0.12,0.23,0.23,1.16,2.9,0.23,0.35,0.23,0.35,0.0,0.0,0.0,0.35,0.0,0.23,0.23,1.39,0.0,0.12,1.28,0.0,0.0,0.23,0.23,0.35,0.23,0.12,0.0,0.81,0.93,0.0,0.58,0.46,0.46,1.28,0.23,0.23,0.46,0.23,0.23,1.86,1.28,0.0,0.0,0.0,0.12,0.35,0.0,0.23,0.46,0.12,0.0,0.12,0.23,0.12,0.0,0.93,0.0,1.74,0.7,0.0,0.0,0.46,0.23,0.35,0.23,0.23,0.46,0.35,1.16,2.44,0.0,0.12,0.12,0.7,0.46,0.35,0.0,0.12,0.35,1.04,0.23,0.23,0.35,0.0,0.0,0.23,0.12,0.35,0.46,3.48,1.16,0.0,0.0,0.46,0.12,4.99,male
0.19,0.19,0.0,0.1,0.0,0.19,0.0,2.52,0.48,0.19,0.1,0.19,0.29,0.0,0.39,0.77,0.19,0.68,0.19,0.77,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.19,0.1,0.0,0.29,0.19,1.16,0.48,0.77,0.87,0.58,0.29,0.19,0.58,0.39,0.19,0.68,1.45,1.26,0.97,0.0,0.0,0.19,0.1,0.0,0.48,0.29,0.19,0.29,0.19,0.29,0.29,0.0,1.06,0.29,1.65,0.77,0.29,0.29,0.1,0.1,0.1,0.19,0.0,0.19,0.19,0.39,2.03,0.0,0.19,0.58,1.06,0.39,0.68,0.0,0.1,0.68,0.97,0.58,0.29,0.29,0.0,0.29,0.1,1.26,0.29,1.06,2.81,0.48,0.0,0.0,0.39,0.0,4.36,female
0.0,0.51,0.0,0.0,0.0,0.0,0.68,1.87,0.34,0.17,0.17,1.02,0.17,0.0,1.36,0.17,0.17,0.17,0.0,1.36,0.0,0.34,0.0,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.34,0.0,1.36,0.17,0.17,0.0,0.34,0.17,0.0,0.51,1.02,0.68,0.0,1.53,1.19,0.51,0.17,0.0,0.85,0.51,0.0,0.0,0.17,0.0,0.51,0.17,0.85,0.0,0.0,1.02,0.0,1.02,0.34,0.85,0.0,1.02,0.0,0.34,0.17,0.0,0.17,0.17,0.17,3.92,0.0,0.0,0.85,0.17,0.17,0.17,0.0,0.17,0.68,2.04,0.17,0.0,0.51,0.17,0.0,0.17,0.17,0.17,0.85,3.07,0.17,0.0,0.0,0.0,0.0,3.92,female
